s1_azi,s1_ele,s2_azi,s2_ele
4,21,41,33
2,27,41,33
1,18,44,37
1,18,47,39
1,18,44,37
0,14,41,33
1,18,44,37
1,18,47,39
1,18,40,46
0,14,44,37
1,18,44,37
1,18,44,37
1,18,44,37
1,18,44,37
1,18,44,37
0,14,39,34
0,14,37,38
1,18,47,39
1,18,47,39
0,14,47,39
1,18,47,39
2,12,47,39
0,14,44,37
1,18,44,37
1,11,44,37
0,14,44,37
1,18,44,37
1,11,44,37
1,18,47,39
1,18,44,37
1,18,44,37
1,18,47,39
1,18,44,37
1,18,39,41
1,18,44,37
1,18,44,37
1,18,36,44
0,14,44,37
1,18,44,41
1,18,44,37
1,18,44,37
0,14,44,37
2,16,47,39
1,11,44,37
0,14,44,37
1,18,47,39
0,14,47,39
1,18,44,41
0,14,44,41
