s1_azi,s1_ele,s2_azi,s2_ele,s3_azi,s3_ele
1,26,47,39,87,44
1,24,44,37,90,50
2,21,44,37,91,45
1,18,44,37,85,48
1,18,44,37,85,48
4,21,44,37,90,50
0,14,47,39,90,50
1,18,44,37,90,50
2,21,44,37,91,46
1,24,44,37,90,50
1,18,47,39,90,50
2,21,49,42,91,46
1,26,44,37,91,45
2,21,44,37,85,52
1,18,44,37,83,52
1,18,44,37,85,52
1,26,44,37,90,50
2,21,44,37,90,50
2,21,47,39,90,50
1,18,44,37,90,50
2,21,44,37,85,48
1,18,45,46,90,50
1,18,44,41,90,50
1,24,44,37,85,44
1,18,40,46,85,44
1,24,44,37,90,50
1,18,46,34,85,48
2,21,44,37,87,44
4,21,44,37,85,48
1,18,42,36,85,48
1,18,44,37,91,45
1,18,44,37,90,50
2,21,44,37,90,50
1,18,44,37,90,50
2,21,44,37,90,50
1,18,44,37,90,50
1,18,44,37,90,50
1,24,47,39,91,38
1,24,47,39,84,44
2,21,47,39,90,50
1,18,44,37,85,48
0,14,42,38,85,48
1,18,45,46,85,48
2,21,44,37,90,50
1,18,44,37,85,48
1,18,46,34,85,48
2,21,44,37,90,50
1,19,44,37,85,48
4,21,47,39,90,50
